id,filename,collection
5,UN_2021_TP_Manual.pdf,UN
6,"UN_Transfer Pricing in the Pharmaceutical Industry.pdf",UN
7,"UN_Transfer Pricing of Agricultural Products .pdf .pdf",UN
8,"UN_Transfer Pricing of Carbon Offsets and Carbon Credits .pdf",UN
11,"OECD Transfer Pricing Guidelines 2022 (2).pdf",OECD
13,"Annex A — examples of helpful supporting records and information - GOV.UK.pdf",UK
14,"CHAPTER 1 Basic Transfer Pricing Rules.pdf",UK
15,"CHAPTER 4 Calculation of profits Oil Valuation.pdf",UK
16,"Common compliance risks (part 2) - GOV.UK.pdf",UK
17,"Further information — next steps, further questions, feedback, legislation and guidance - GOV.UK.pdf",UK
18,"Indicators of transfer pricing policy design risk (part 3) - GOV.UK.pdf",UK
19,"INTM410510 - Transfer pricing_ introduction_ what is transfer pricing__ Structure of the transfer pricing guidance - HMRC internal manual - GOV.UK.pdf",UK
20,"INTM410520 - Transfer pricing_ introduction_ what is transfer pricing_ _ an explanation - HMRC internal manual - GOV.UK.pdf",UK
21,"INTM413010 - Transfer pricing_ the main thin capitalisation legislation_ Overview - HMRC internal manual - GOV.UK.pdf",UK
22,"INTM413020 - Transfer pricing_ the main thin capitalisation legislation_ Introduction - HMRC internal manual - GOV.UK.pdf",UK
23,"INTM413030 - Transfer pricing_ thin capitalisation legislation and principles_ the “would” and “could” arguments - HMRC internal manual - GOV.UK.pdf",UK
24,"INTM413040 - Transfer pricing_ the main thin capitalisation legislation_ Summary of sections specific to thin capitalisation - HMRC internal manual - GOV.UK.pdf",UK
25,"INTM413050 - Transfer pricing_ the main thin capitalisation legislation_ Potential UK tax advantage - HMRC internal manual - GOV.UK.pdf",UK
26,"INTM413060 - Transfer pricing_ the main thin capitalisation legislation_ Transaction or series of transactions - HMRC internal manual - GOV.UK.pdf",UK
27,"INTM413070 - Transfer pricing_ the main thin capitalisation legislation_ Separate entity basis for determining borrowing capacity - HMRC internal manual - GOV.UK.pdf",UK
28,"INTM413080 - Transfer pricing_ the main thin capitalisation legislation_ Borrowing capacity - the borrowing unit - HMRC internal manual - GOV.UK.pdf",UK
29,"INTM413090 - Transfer pricing_ the main thin capitalisation legislation_ UK-UK thin capitalisation - HMRC internal manual - GOV.UK.pdf",UK
30,"INTM413100 - Transfer pricing_ the main thin capitalisation legislation_ Special rules for lending between companies - HMRC internal manual - GOV.UK.pdf",UK
31,"INTM413110 - Transfer pricing_ the main thin capitalisation legislation_ Guarantees - what they do and what they are - HMRC internal manual - GOV.UK.pdf",UK
32,"INTM413120 - Transfer pricing_ the main thin capitalisation legislation_ Evaluating guarantees_ starting with the arm’s length cost of debt - HMRC internal manual - GOV.UK.pdf",UK
